grant_id,user_id,entitlement,privileged,granted_at,approved_by,grant_status,temporary,expires_at
G00051,U0018,DB_ADMIN,True,2025-11-12,U0006,revoked,False,
G00052,U0019,DEV_DEPLOY,True,2025-12-04,U0166,active,False,
G00053,U0019,DWH_QUERY,False,2025-05-15,U0010,active,False,
G00054,U0020,DB_ADMIN,True,2025-01-25,U0227,active,False,
G00055,U0020,CORE_VIEW,False,2026-02-03,U0219,active,False,
G00056,U0020,CORE_TELLER,False,2025-03-28,U0290,active,False,
G00057,U0021,CORE_TELLER,False,2025-10-02,U0079,active,False,
G00058,U0022,PAYMENT_INITIATE,False,2026-06-20,U0239,active,False,
G00059,U0022,DEV_DEPLOY,True,2026-05-31,U0239,active,False,
G00060,U0022,DWH_QUERY,False,2026-05-24,U0222,active,False,
G00062,U0023,CRM_AGENT,False,2026-03-08,U0239,active,False,
G00063,U0023,GL_POST,False,2025-09-09,U0176,active,False,
G00064,U0023,PAYMENT_INITIATE,False,2025-09-30,U0046,active,False,
G00065,U0024,USER_ADMIN,True,2025-12-17,U0267,active,False,
G00066,U0025,PAYMENT_INITIATE,False,2024-08-11,U0238,active,False,
G00067,U0025,GL_POST,False,2025-09-06,U0251,active,False,
G00068,U0026,DEV_DEPLOY,True,2024-04-06,U0105,active,False,
G00069,U0026,DB_ADMIN,True,2024-03-10,U0219,active,False,
G00070,U0026,SEC_CONFIG,True,2025-07-05,U0176,active,False,
G00071,U0027,DEV_DEPLOY,True,2024-09-24,U0105,active,True,2026-06-01
G00072,U0028,DEV_DEPLOY,True,2025-12-06,U0282,revoked,False,
G00073,U0029,USER_ADMIN,True,2025-01-30,U0282,active,False,
G00074,U0029,DEV_DEPLOY,True,2024-03-28,U0153,active,False,
G00075,U0030,DEV_DEPLOY,True,2025-09-20,U0290,active,False,
G00076,U0030,SEC_CONFIG,True,2025-10-15,U0153,active,False,
G00077,U0031,REPORT_VIEW,False,2025-12-02,U0204,active,False,
G00078,U0031,PAYMENT_INITIATE,False,2026-04-05,U0046,active,False,
G00079,U0031,CRM_AGENT,False,2024-05-25,U0251,active,False,
G00080,U0032,PAYMENT_APPROVE,True,2025-08-25,U0166,active,False,
G00081,U0033,CORE_TELLER,False,2025-08-21,U0227,active,False,
G00082,U0033,PAYMENT_INITIATE,False,2026-05-29,U0234,active,False,
G00083,U0033,REPORT_VIEW,False,2026-04-25,U0043,active,False,
G00084,U0034,PROD_ADMIN,True,2025-02-14,U0290,active,False,
G00085,U0034,CORE_TELLER,False,2025-05-13,U0105,active,False,
G00086,U0035,DEV_DEPLOY,True,2025-06-10,U0058,active,False,
G00087,U0036,GL_CLOSE,True,2025-01-15,U0110,active,False,
G00088,U0036,USER_ADMIN,True,2025-09-03,U0250,active,False,
G00089,U0036,DEV_DEPLOY,True,2025-12-24,U0222,active,False,
G00090,U0037,GL_CLOSE,True,2024-09-24,U0046,active,False,
G00091,U0037,PROD_ADMIN,True,2025-09-19,U0058,active,False,
G00092,U0037,PAYMENT_APPROVE,True,2025-06-20,U0197,active,False,
G00093,U0038,CORE_VIEW,False,2024-11-21,U0250,active,False,
G00094,U0038,GL_CLOSE,True,2024-02-16,U0010,active,False,
G00095,U0038,USER_ADMIN,True,2024-08-14,U0153,active,False,
G00096,U0039,DWH_QUERY,False,2026-01-28,U0227,active,False,
G00097,U0039,REPORT_VIEW,False,2026-05-13,U0105,active,False,
G00098,U0040,DWH_QUERY,False,2024-10-07,U0239,active,False,
G00099,U0041,SEC_CONFIG,True,2024-01-24,U0166,active,False,
G00100,U0041,REPORT_VIEW,False,2026-01-13,U0046,active,False,
G00101,U0041,USER_ADMIN,True,2024-03-27,U0058,active,False,
G00102,U0041,DB_ADMIN,True,2026-01-09,U0282,active,False,
G00103,U0042,SEC_CONFIG,True,2024-02-22,U0282,active,False,
G00104,U0042,PROD_ADMIN,True,2025-05-13,U0227,active,False,
G00105,U0042,DWH_QUERY,False,2024-12-19,U0197,active,False,
G00106,U0042,GL_CLOSE,True,2025-04-26,U0166,active,False,
G00107,U0043,REPORT_VIEW,False,2025-11-09,U0250,active,False,
G00108,U0043,CORE_TELLER,False,2026-06-16,U0290,active,False,
G00109,U0043,GL_POST,False,2024-08-27,U0290,active,False,
G00110,U0043,DEV_DEPLOY,True,2025-07-15,U0105,active,False,
G00111,U0044,REPORT_VIEW,False,2025-05-04,U0204,active,False,
G00112,U0044,PROD_ADMIN,True,2025-03-06,U0267,active,False,
G00113,U0045,REPORT_VIEW,False,2025-07-25,U0183,active,False,
G00114,U0045,PAYMENT_APPROVE,True,2024-12-17,U0045,active,False,
G00115,U0045,GL_POST,False,2025-10-08,U0219,active,False,
G00117,U0046,GL_POST,False,2025-08-15,U0290,active,False,
G00118,U0047,CORE_VIEW,False,2024-08-19,U0006,active,False,
G00119,U0048,CORE_VIEW,False,2026-01-28,U0176,active,False,
G00120,U0049,PROD_ADMIN,True,2024-11-29,U0079,active,False,
G00121,U0049,PAYMENT_APPROVE,True,2024-05-31,,active,False,
G00122,U0050,GL_POST,False,2026-06-13,U0197,active,False,
G00123,U0050,CRM_AGENT,False,2025-01-05,U0282,active,False,
G00124,U0051,DWH_QUERY,False,2024-07-29,U0227,active,False,
G00125,U0051,GL_POST,False,2024-06-04,U0282,active,False,
G00126,U0051,PROD_ADMIN,True,2026-03-29,U0183,active,False,
G00127,U0051,PAYMENT_INITIATE,False,2024-06-13,U0183,active,False,
G00128,U0052,PAYMENT_INITIATE,False,2025-04-25,U0267,revoked,False,
G00129,U0052,DEV_DEPLOY,True,2025-08-23,U0197,revoked,False,
G00130,U0052,CORE_TELLER,False,2025-04-26,U0212,revoked,False,
G00131,U0052,GL_POST,False,2025-05-05,U0227,revoked,False,
G00132,U0053,USER_ADMIN,True,2026-05-28,U0197,active,False,
G00133,U0053,PAYMENT_INITIATE,False,2024-04-18,U0153,active,False,
G00134,U0054,PROD_ADMIN,True,2026-03-20,U0219,active,False,
G00135,U0054,DB_ADMIN,True,2025-03-14,U0227,active,False,
G00136,U0055,REPORT_VIEW,False,2024-11-19,U0043,active,False,
G00137,U0056,PAYMENT_INITIATE,False,2025-08-20,U0238,active,False,
G00138,U0057,SEC_CONFIG,True,2025-03-11,U0238,active,False,
G00139,U0058,CORE_TELLER,False,2024-03-16,U0149,active,False,
G00140,U0058,REPORT_VIEW,False,2025-06-14,U0197,active,False,
G00141,U0059,REPORT_VIEW,False,2026-05-24,U0296,active,False,
G00142,U0059,CORE_VIEW,False,2024-10-07,U0153,active,False,
G00143,U0059,SEC_CONFIG,True,2024-08-20,U0010,active,False,
G00144,U0059,PAYMENT_APPROVE,True,2026-05-07,U0010,active,False,
G00145,U0060,CORE_TELLER,False,2025-06-24,U0010,active,False,
G00146,U0060,USER_ADMIN,True,2025-12-26,U0043,active,True,2026-06-17
G00147,U0061,PAYMENT_INITIATE,False,2026-03-21,U0105,active,False,
G00148,U0061,USER_ADMIN,True,2024-10-14,U0222,active,False,
G00149,U0061,GL_CLOSE,True,2026-02-14,U0239,active,False,
G00150,U0061,PROD_ADMIN,True,2025-05-24,U0267,active,False,
G00151,U0062,DB_ADMIN,True,2026-04-27,U0176,active,False,
G00152,U0063,CORE_VIEW,False,2026-04-06,U0212,active,False,
G00153,U0063,SEC_CONFIG,True,2024-03-28,U0105,active,False,
G00154,U0064,DB_ADMIN,True,2024-07-08,U0239,active,False,
G00155,U0064,CORE_TELLER,False,2025-09-04,U0183,active,False,
G00156,U0064,GL_POST,False,2025-03-06,U0183,active,False,
G00157,U0064,SEC_CONFIG,True,2025-10-07,U0239,active,False,
G00158,U0065,CORE_TELLER,False,2024-07-05,U0058,active,False,
G00159,U0065,GL_CLOSE,True,2024-07-14,U0212,active,False,
G00160,U0065,PAYMENT_INITIATE,False,2025-04-29,U0010,active,False,
G00161,U0065,DEV_DEPLOY,True,2024-11-16,U0176,active,False,
G00162,U0066,GL_CLOSE,True,2024-01-30,U0010,active,False,
G00163,U0067,PROD_ADMIN,True,2026-05-25,U0212,active,False,
G00164,U0067,PAYMENT_APPROVE,True,2025-01-24,U0238,active,False,
G00165,U0067,CRM_AGENT,False,2024-11-05,U0219,active,False,
G00166,U0067,SEC_CONFIG,True,2025-05-26,U0219,active,False,
G00167,U0068,GL_POST,False,2025-07-19,U0296,active,False,
G00168,U0068,SEC_CONFIG,True,2024-07-08,U0296,active,False,
G00169,U0068,PROD_ADMIN,True,2024-09-09,U0058,active,False,
G00170,U0068,DB_ADMIN,True,2024-08-03,U0176,active,False,
G00171,U0069,PROD_ADMIN,True,2024-02-10,U0212,revoked,False,
G00172,U0069,CRM_AGENT,False,2025-07-15,U0046,revoked,False,
G00173,U0070,DWH_QUERY,False,2025-08-14,U0290,active,False,
G00174,U0070,PROD_ADMIN,True,2025-07-27,U0176,active,False,
G00175,U0071,DWH_QUERY,False,2026-04-20,U0058,active,False,
G00176,U0071,REPORT_VIEW,False,2025-03-05,U0153,active,False,
G00177,U0071,PAYMENT_INITIATE,False,2025-09-22,U0234,active,False,
G00179,U0072,GL_CLOSE,True,2024-05-14,U0197,active,False,
G00180,U0072,CRM_AGENT,False,2024-07-27,U0290,active,False,
G00181,U0072,DEV_DEPLOY,True,2024-08-16,U0250,active,False,
G00183,U0073,DEV_DEPLOY,True,2024-02-09,U0296,active,False,
G00184,U0073,USER_ADMIN,True,2026-01-11,U0212,active,False,
G00185,U0073,DWH_QUERY,False,2026-03-20,U0079,active,False,
G00187,U0074,DWH_QUERY,False,2024-05-29,U0058,active,False,
G00188,U0074,GL_POST,False,2026-03-21,U0296,active,False,
G00189,U0074,USER_ADMIN,True,2024-03-24,U0212,active,False,
G00191,U0075,DEV_DEPLOY,True,2024-03-11,U0079,active,False,
G00192,U0075,DWH_QUERY,False,2024-03-31,U0290,revoked,False,
G00193,U0075,GL_POST,False,2026-04-08,U0204,revoked,False,
G00194,U0076,CRM_AGENT,False,2026-02-07,U0043,active,False,
G00195,U0076,USER_ADMIN,True,2025-11-20,U0183,active,False,
G00196,U0077,PAYMENT_APPROVE,True,2025-05-15,U0204,active,False,
G00197,U0078,GL_CLOSE,True,2024-03-10,,active,False,
G00198,U0078,USER_ADMIN,True,2024-04-29,U0282,active,False,
G00199,U0078,DB_ADMIN,True,2024-01-24,U0058,active,False,
G00200,U0079,GL_CLOSE,True,2026-05-01,U0006,active,False,
G00201,U0079,DEV_DEPLOY,True,2024-10-31,U0234,active,False,
G00202,U0079,CORE_TELLER,False,2025-05-31,U0251,active,False,
G00203,U0079,CORE_VIEW,False,2026-02-08,U0183,active,False,
G00204,U0080,GL_CLOSE,True,2025-11-19,U0158,active,False,
G00205,U0081,USER_ADMIN,True,2024-07-17,U0043,active,False,
G00206,U0082,SEC_CONFIG,True,2024-03-15,U0212,active,False,
G00207,U0082,CRM_AGENT,False,2024-02-16,U0282,active,False,
G00208,U0082,GL_POST,False,2025-01-22,U0058,active,False,
G00209,U0082,PROD_ADMIN,True,2026-03-09,U0010,active,False,
G00210,U0083,PROD_ADMIN,True,2025-03-29,U0183,active,True,2026-06-24
G00211,U0083,CORE_TELLER,False,2025-11-16,U0290,active,False,
G00212,U0084,GL_CLOSE,True,2024-09-10,U0149,active,False,
G00213,U0084,DWH_QUERY,False,2024-04-03,U0219,active,False,
G00214,U0084,DB_ADMIN,True,2024-03-11,U0058,active,False,
G00215,U0085,PAYMENT_INITIATE,False,2026-02-27,U0010,revoked,False,
G00216,U0086,DEV_DEPLOY,True,2025-12-07,U0043,active,False,
G00218,U0086,CORE_TELLER,False,2024-10-01,U0176,active,False,
G00219,U0086,GL_CLOSE,True,2024-09-09,U0282,active,False,
G00220,U0087,GL_CLOSE,True,2024-03-07,U0222,active,False,
G00221,U0088,GL_CLOSE,True,2025-06-01,U0079,active,False,
G00222,U0088,CRM_AGENT,False,2025-01-22,U0234,active,False,
G00223,U0088,CORE_VIEW,False,2024-12-11,U0079,active,False,
G00224,U0089,CORE_VIEW,False,2024-07-18,U0149,active,False,
G00225,U0090,DB_ADMIN,True,2025-01-20,U0046,active,False,
G00226,U0091,GL_POST,False,2024-03-14,U0197,active,False,
G00227,U0091,CRM_AGENT,False,2025-05-19,U0234,active,False,
G00229,U0091,PAYMENT_INITIATE,False,2025-04-09,U0091,active,False,
G00230,U0092,GL_POST,False,2025-03-23,U0158,active,False,
G00231,U0093,CORE_TELLER,False,2025-12-04,U0105,active,False,
G00232,U0094,DWH_QUERY,False,2025-11-15,U0153,active,False,
G00233,U0094,CORE_TELLER,False,2025-01-19,U0166,active,False,
G00234,U0095,SEC_CONFIG,True,2024-04-26,U0166,active,False,
G00235,U0095,CRM_AGENT,False,2025-08-05,U0219,active,False,
G00236,U0095,PROD_ADMIN,True,2026-02-22,U0219,active,False,
G00237,U0095,GL_POST,False,2025-08-01,U0267,active,False,
G00238,U0096,CRM_AGENT,False,2025-07-28,U0239,active,False,
G00239,U0097,PAYMENT_INITIATE,False,2024-11-10,U0267,active,False,
G00240,U0097,REPORT_VIEW,False,2025-12-22,U0114,active,False,
G00241,U0098,SEC_CONFIG,True,2025-03-14,U0296,active,False,
G00242,U0098,DEV_DEPLOY,True,2025-07-11,U0267,active,False,
G00243,U0098,GL_CLOSE,True,2025-09-18,U0158,active,False,
G00244,U0099,USER_ADMIN,True,2024-04-01,U0010,active,False,
G00245,U0099,SEC_CONFIG,True,2025-10-13,U0267,active,False,
G00246,U0099,CORE_TELLER,False,2026-06-17,U0043,active,False,
G00247,U0099,CRM_AGENT,False,2024-03-10,U0234,active,False,
G00248,U0100,PAYMENT_INITIATE,False,2026-04-21,U0296,active,False,
G00249,U0100,CORE_VIEW,False,2024-05-07,U0212,active,False,
G00250,U0100,GL_CLOSE,True,2024-09-29,U0058,active,False,
G00251,U0101,PROD_ADMIN,True,2024-01-23,U0267,active,False,
G00252,U0101,CORE_TELLER,False,2026-01-19,U0239,active,False,
G00253,U0101,CORE_VIEW,False,2025-10-07,U0176,active,False,
G00254,U0101,PAYMENT_INITIATE,False,2024-07-17,U0227,active,False,
G00255,U0102,CORE_TELLER,False,2025-12-27,U0158,active,False,
G00256,U0102,REPORT_VIEW,False,2025-12-26,U0153,active,False,
G00257,U0102,DEV_DEPLOY,True,2024-10-30,U0282,active,True,2026-07-08
G00258,U0103,PAYMENT_INITIATE,False,2025-02-25,U0105,active,False,
G00259,U0104,CRM_AGENT,False,2024-12-17,U0043,active,False,
G00260,U0105,GL_CLOSE,True,2024-12-11,U0010,active,False,
G00261,U0105,DB_ADMIN,True,2024-03-22,U0251,active,False,
G00262,U0106,DEV_DEPLOY,True,2025-07-11,U0290,active,False,
G00263,U0106,GL_POST,False,2024-02-13,U0282,active,False,
G00264,U0107,GL_CLOSE,True,2025-05-28,U0114,active,False,
G00265,U0108,CRM_AGENT,False,2025-05-11,U0046,active,False,
G00266,U0108,PROD_ADMIN,True,2024-05-15,U0058,active,False,
G00267,U0108,USER_ADMIN,True,2025-10-15,U0238,active,False,
G00268,U0108,CORE_TELLER,False,2025-12-30,U0058,active,False,
G00269,U0109,SEC_CONFIG,True,2024-09-15,U0153,active,False,
G00270,U0110,USER_ADMIN,True,2024-09-15,U0046,active,False,
G00271,U0110,CORE_TELLER,False,2025-12-31,U0296,active,False,
G00272,U0110,CORE_VIEW,False,2024-06-08,U0149,active,False,
G00273,U0111,USER_ADMIN,True,2025-09-14,U0234,active,False,
G00274,U0112,DWH_QUERY,False,2025-10-13,U0239,active,False,
G00275,U0112,DEV_DEPLOY,True,2024-06-23,U0197,active,False,
G00276,U0112,REPORT_VIEW,False,2025-07-15,U0222,active,False,
G00277,U0112,SEC_CONFIG,True,2024-11-07,U0158,active,False,
G00278,U0113,CRM_AGENT,False,2026-05-16,U0110,active,False,
G00279,U0113,USER_ADMIN,True,2025-02-05,U0267,active,False,
G00280,U0113,CORE_VIEW,False,2025-08-09,U0234,active,False,
G00281,U0113,PAYMENT_INITIATE,False,2024-03-13,U0267,active,False,
G00282,U0114,DB_ADMIN,True,2026-02-09,U0212,active,False,
G00283,U0115,PROD_ADMIN,True,2025-11-01,U0290,active,False,
G00284,U0115,DWH_QUERY,False,2024-11-11,U0149,active,False,
G00285,U0116,DWH_QUERY,False,2025-03-27,U0105,active,False,
G00286,U0116,REPORT_VIEW,False,2024-05-14,U0149,active,False,
G00287,U0116,GL_POST,False,2024-11-18,U0043,active,False,
G00288,U0116,CRM_AGENT,False,2024-12-12,U0158,active,False,
G00289,U0117,PAYMENT_APPROVE,True,2026-03-14,U0153,active,False,
G00290,U0118,PAYMENT_APPROVE,True,2025-06-24,U0046,active,False,
G00291,U0118,REPORT_VIEW,False,2024-12-16,U0158,active,False,
G00292,U0119,PAYMENT_INITIATE,False,2025-09-05,U0251,active,False,
G00293,U0119,PROD_ADMIN,True,2026-03-03,U0290,active,False,
G00295,U0119,GL_POST,False,2024-12-20,U0176,active,False,
G00296,U0120,CORE_TELLER,False,2026-01-17,U0079,active,False,
G00297,U0121,GL_POST,False,2024-07-02,U0197,active,False,
G00298,U0122,USER_ADMIN,True,2024-04-09,U0227,active,True,2026-07-31
G00299,U0122,PAYMENT_APPROVE,True,2024-09-23,U0158,active,False,
G00300,U0122,CORE_VIEW,False,2024-08-11,U0227,active,False,
G00301,U0122,CORE_TELLER,False,2024-06-20,U0010,active,False,
G00302,U0123,DB_ADMIN,True,2025-03-06,U0222,active,False,
G00303,U0123,SEC_CONFIG,True,2026-05-24,U0222,active,False,
G00304,U0123,GL_POST,False,2024-03-10,U0046,active,False,
G00305,U0124,DEV_DEPLOY,True,2026-03-25,U0183,active,False,
G00306,U0124,PAYMENT_INITIATE,False,2025-03-22,U0183,active,False,
G00307,U0125,USER_ADMIN,True,2024-02-06,U0153,active,False,
G00308,U0125,SEC_CONFIG,True,2024-09-06,U0212,revoked,False,
G00309,U0125,GL_POST,False,2025-11-19,U0197,revoked,False,
G00310,U0125,CRM_AGENT,False,2024-09-19,U0166,revoked,False,
G00311,U0126,SEC_CONFIG,True,2025-01-05,U0239,active,False,
G00313,U0126,PAYMENT_INITIATE,False,2025-04-08,U0282,active,False,
G00314,U0127,GL_POST,False,2024-09-21,U0267,active,False,
G00315,U0127,CRM_AGENT,False,2024-07-09,U0105,active,False,
G00316,U0128,CRM_AGENT,False,2024-08-25,U0251,active,False,
G00317,U0128,CORE_VIEW,False,2024-04-08,U0219,active,False,
G00318,U0128,PROD_ADMIN,True,2025-05-12,U0166,active,False,
G00319,U0129,DB_ADMIN,True,2024-08-05,U0149,active,False,
G00320,U0130,SEC_CONFIG,True,2025-05-30,U0166,active,False,
G00321,U0130,PAYMENT_INITIATE,False,2024-07-29,U0079,active,False,
G00322,U0131,GL_POST,False,2024-10-02,U0058,active,False,
G00323,U0131,DWH_QUERY,False,2025-01-04,U0219,active,False,
G00324,U0131,CORE_VIEW,False,2024-12-09,U0105,active,False,
G00325,U0131,DB_ADMIN,True,2025-07-28,U0222,active,False,
G00326,U0132,DEV_DEPLOY,True,2025-04-12,U0046,active,False,
G00327,U0133,DB_ADMIN,True,2025-01-05,U0133,active,False,
G00328,U0133,CORE_VIEW,False,2025-08-14,U0010,active,False,
G00329,U0133,CRM_AGENT,False,2025-07-12,U0227,active,False,
G00330,U0134,CORE_VIEW,False,2026-03-13,U0250,active,False,
G00331,U0134,PROD_ADMIN,True,2025-12-04,U0282,active,False,
G00332,U0135,GL_POST,False,2025-02-05,U0010,active,False,
G00333,U0135,CORE_VIEW,False,2026-03-25,U0158,active,False,
G00334,U0135,DEV_DEPLOY,True,2024-07-07,U0234,active,False,
G00335,U0136,CORE_VIEW,False,2025-07-05,U0006,revoked,False,
G00336,U0136,CORE_TELLER,False,2025-09-03,U0222,revoked,False,
G00337,U0137,GL_CLOSE,True,2024-09-12,U0250,active,False,
G00338,U0138,PAYMENT_APPROVE,True,2024-06-07,U0227,active,False,
G00339,U0139,USER_ADMIN,True,2024-07-21,U0183,active,False,
G00340,U0139,SEC_CONFIG,True,2024-07-08,U0234,active,False,
G00341,U0139,CRM_AGENT,False,2025-07-10,U0006,active,False,
G00342,U0139,GL_CLOSE,True,2025-11-12,U0176,active,False,
G00343,U0140,REPORT_VIEW,False,2024-09-30,U0290,active,False,
G00344,U0140,CORE_VIEW,False,2024-06-13,U0114,active,False,
G00345,U0141,SEC_CONFIG,True,2025-06-10,U0183,active,False,
G00346,U0142,SEC_CONFIG,True,2025-01-20,U0250,active,False,
G00347,U0143,CORE_VIEW,False,2025-12-20,U0046,active,False,
G00348,U0144,SEC_CONFIG,True,2025-10-18,U0110,active,False,
G00349,U0144,PAYMENT_APPROVE,True,2025-08-23,U0238,active,False,
G00350,U0145,CORE_TELLER,False,2025-11-28,U0183,active,False,
G00351,U0146,SEC_CONFIG,True,2024-09-20,U0110,active,False,
G00352,U0146,REPORT_VIEW,False,2024-04-03,U0250,active,False,
G00353,U0147,USER_ADMIN,True,2026-01-09,U0006,active,False,
G00354,U0148,GL_CLOSE,True,2026-06-09,U0046,active,False,
G00355,U0148,USER_ADMIN,True,2024-10-06,U0176,active,False,
G00356,U0149,GL_POST,False,2024-04-11,U0110,active,False,
G00357,U0149,REPORT_VIEW,False,2025-02-26,U0250,active,False,
G00358,U0149,CORE_TELLER,False,2026-04-30,U0296,active,False,
G00359,U0149,PROD_ADMIN,True,2025-08-01,U0183,active,False,
G00360,U0150,DWH_QUERY,False,2026-05-31,U0282,revoked,False,
G00361,U0150,DB_ADMIN,True,2024-12-13,U0239,revoked,False,
G00362,U0150,SEC_CONFIG,True,2025-04-28,U0149,revoked,False,
G00363,U0151,USER_ADMIN,True,2024-06-11,U0296,active,False,
G00364,U0151,DEV_DEPLOY,True,2025-03-30,U0251,active,False,
G00365,U0152,PAYMENT_INITIATE,False,2024-08-14,U0153,active,False,
G00366,U0152,USER_ADMIN,True,2024-09-27,U0204,active,False,
G00367,U0153,DEV_DEPLOY,True,2025-04-30,U0183,active,False,
G00368,U0153,PAYMENT_APPROVE,True,2025-04-10,U0219,active,False,
G00369,U0153,DWH_QUERY,False,2025-05-16,U0212,active,False,
G00370,U0154,CORE_TELLER,False,2024-11-27,U0043,active,False,
G00371,U0154,CORE_VIEW,False,2024-01-23,U0010,active,False,
G00372,U0154,PROD_ADMIN,True,2024-09-25,U0197,active,False,
G00373,U0154,REPORT_VIEW,False,2025-12-28,U0251,active,False,
G00374,U0155,GL_CLOSE,True,2024-08-05,U0239,active,False,
G00375,U0156,DWH_QUERY,False,2026-03-08,U0282,active,False,
G00376,U0156,DEV_DEPLOY,True,2026-01-30,U0176,active,False,
G00377,U0156,CRM_AGENT,False,2026-02-27,U0219,active,False,
G00378,U0157,CORE_TELLER,False,2024-06-20,U0149,active,False,
G00379,U0157,REPORT_VIEW,False,2024-12-09,U0158,active,False,
G00380,U0157,DEV_DEPLOY,True,2025-06-02,U0238,active,False,
G00381,U0158,PROD_ADMIN,True,2024-12-22,U0006,active,False,
G00382,U0158,CRM_AGENT,False,2025-12-12,U0227,active,False,
G00383,U0158,SEC_CONFIG,True,2025-12-05,U0227,active,False,
G00384,U0158,PAYMENT_APPROVE,True,2024-08-26,U0267,active,False,
G00385,U0159,CORE_TELLER,False,2024-08-09,U0219,active,False,
G00386,U0159,DEV_DEPLOY,True,2026-04-30,U0043,active,False,
G00387,U0159,USER_ADMIN,True,2026-06-19,,active,False,
G00388,U0160,CRM_AGENT,False,2024-09-01,U0227,active,False,
G00389,U0160,GL_CLOSE,True,2025-12-03,U0105,active,False,
G00390,U0160,DWH_QUERY,False,2024-02-01,U0110,active,False,
G00391,U0161,REPORT_VIEW,False,2024-08-06,U0234,active,False,
G00392,U0161,CORE_TELLER,False,2025-09-28,U0079,active,False,
G00393,U0161,GL_CLOSE,True,2024-01-14,U0105,active,False,
G00394,U0161,PAYMENT_INITIATE,False,2025-06-12,U0110,active,False,
G00395,U0162,CORE_VIEW,False,2025-08-21,U0158,active,False,
G00396,U0162,DEV_DEPLOY,True,2025-02-07,,active,False,
G00397,U0162,PAYMENT_INITIATE,False,2026-06-17,U0219,active,False,
G00398,U0162,GL_POST,False,2024-01-26,U0219,active,False,
G00399,U0163,REPORT_VIEW,False,2024-07-31,U0251,active,False,
