ledger_row_id,txn_id,account_id,amount,currency,booked_at,reconciled
LR0000069,T0000069,A00098,80.14,USD,2026-06-05,True
LR0000070,T0000070,A00040,12.02,USD,2026-06-01,True
LR0000071,T0000071,A00156,4212.82,USD,2026-05-19,True
LR0000072,T0000072,A00245,8.48,USD,2026-06-20,True
LR0000073,T0000073,A00190,1318.33,USD,2026-05-18,True
LR0000074,T0000074,A00073,540.35,USD,2026-04-29,True
LR0000075,T0000075,A00171,204.8,USD,2026-04-05,True
LR0000076,T0000076,A00045,121.04,USD,2026-05-17,True
LR0000077,T0000077,A00014,789.96,USD,2026-04-23,True
LR0000078,T0000078,A00248,1250.82,USD,2026-06-28,True
LR0000079,T0000079,A00195,1266.62,USD,2026-06-20,True
LR0000080,T0000080,A00172,1287.71,USD,2026-06-17,True
LR0000081,T0000081,A00087,32.65,USD,2026-06-19,True
LR0000082,T0000082,A00024,104.26,USD,2026-06-29,True
LR0000083,T0000083,A00045,111.49,USD,2026-04-17,True
LR0000084,T0000084,A00236,293.41,USD,2026-06-08,True
LR0000085,T0000085,A00245,402.88,USD,2026-06-18,True
LR0000086,T0000086,A00390,1212.22,USD,2026-06-17,True
LR0000087,T0000087,A00212,260.48,USD,2026-04-07,True
LR0000088,T0000088,A00005,809.36,USD,2026-06-22,True
LR0000089,T0000089,A00245,165.04,USD,2026-06-28,True
LR0000090,T0000090,A00120,4830.46,USD,2026-06-13,True
LR0000091,T0000091,A00384,111.18,USD,2026-05-01,True
LR0000092,T0000092,A00275,108.56,USD,2026-05-01,True
LR0000093,T0000093,A00365,393.89,USD,2026-06-15,True
LR0000094,T0000094,A00332,1372.9,USD,2026-06-30,True
LR0000095,T0000095,A00288,91.88,USD,2026-05-13,True
LR0000096,T0000096,A00226,179.85,USD,2026-06-16,True
LR0000097,T0000097,A00122,163.62,USD,2026-05-29,True
LR0000098,T0000098,A00146,64.3,USD,2026-05-14,True
LR0000099,T0000099,A00037,125.7,USD,2026-04-15,True
LR0000100,T0000100,A00063,104.28,USD,2026-06-04,True
LR0000101,T0000101,A00379,1750.71,USD,2026-06-24,True
LR0000102,T0000102,A00066,342.49,USD,2026-05-20,True
LR0000103,T0000103,A00060,134.45,USD,2026-06-02,True
LR0000104,T0000104,A00379,3728.38,USD,2026-04-04,True
LR0000105,T0000105,A00223,3453.73,USD,2026-06-06,True
LR0000106,T0000106,A00003,3035.68,USD,2026-06-07,True
LR0000107,T0000107,A00179,145.42,USD,2026-06-12,True
LR0000108,T0000108,A00265,1156.64,USD,2026-04-15,True
LR0000109,T0000109,A00192,5474.66,USD,2026-06-29,True
LR0000110,T0000110,A00228,156.91,USD,2026-07-01,True
LR0000111,T0000111,A00192,201.09,USD,2026-06-26,True
LR0000112,T0000112,A00307,147.68,USD,2026-05-30,True
LR0000113,T0000113,A00051,369.1,USD,2026-05-10,True
LR0000114,T0000114,A00053,3494.81,USD,2026-06-06,True
LR0000115,T0000115,A00131,297.95,USD,2026-05-03,True
LR0000116,T0000116,A00246,123.66,USD,2026-05-04,True
LR0000117,T0000117,A00381,236.71,USD,2026-07-01,True
LR0000118,T0000118,A00246,1421.64,USD,2026-04-04,True
LR0000119,T0000119,A00083,5.16,USD,2026-06-19,True
LR0000120,T0000120,A00333,466.08,USD,2026-05-09,True
LR0000121,T0000121,A00355,197.45,USD,2026-06-11,True
LR0000122,T0000122,A00400,109.06,USD,2026-05-16,True
LR0000123,T0000123,A00337,23.12,USD,2026-06-03,True
LR0000124,T0000124,A00272,642.08,USD,2026-04-28,True
LR0000125,T0000125,A00152,179.36,USD,2026-04-11,True
LR0000126,T0000126,A00258,512.99,USD,2026-07-01,True
LR0000127,T0000127,A00278,55.72,USD,2026-04-18,True
LR0000128,T0000128,A00075,18.91,USD,2026-04-24,True
LR0000129,T0000129,A00080,48.85,USD,2026-05-13,True
LR0000130,T0000130,A00190,197.58,USD,2026-06-22,True
LR0000131,T0000131,A00008,21.27,USD,2026-04-30,True
LR0000132,T0000132,A00303,331.0,USD,2026-04-09,True
LR0000133,T0000133,A00376,2789.52,USD,2026-05-02,True
LR0000134,T0000134,A00382,8.24,USD,2026-04-11,True
LR0000135,T0000135,A00157,99.98,USD,2026-04-05,True
LR0000136,T0000136,A00083,212.0,USD,2026-05-29,True
LR0000137,T0000137,A00099,206.13,USD,2026-04-06,True
LR0000138,T0000138,A00022,1693.59,USD,2026-07-01,True
LR0000139,T0000139,A00331,148.68,USD,2026-04-23,True
LR0000140,T0000140,A00308,179.33,USD,2026-06-08,True
LR0000141,T0000141,A00008,161.74,USD,2026-06-09,True
LR0000142,T0000142,A00063,530.34,USD,2026-04-19,True
LR0000143,T0000143,A00067,2706.31,USD,2026-04-11,True
LR0000144,T0000144,A00262,271.3,USD,2026-06-01,True
LR0000145,T0000145,A00027,2308.06,USD,2026-06-06,True
LR0000146,T0000146,A00098,308.74,USD,2026-05-26,True
LR0000147,T0000147,A00116,46.1,USD,2026-05-18,True
LR0000148,T0000148,A00380,1285.41,USD,2026-05-03,True
LR0000149,T0000149,A00376,262.11,USD,2026-05-10,True
LR0000150,T0000150,A00329,2002.86,USD,2026-06-06,True
LR0000151,T0000151,A00071,858.02,USD,2026-05-03,True
LR0000152,T0000152,A00238,997.49,USD,2026-05-06,True
LR0000153,T0000153,A00025,92.96,USD,2026-04-28,True
LR0000154,T0000154,A00044,70.37,USD,2026-05-22,True
LR0000155,T0000155,A00205,255.79,USD,2026-05-13,True
LR0000156,T0000156,A00237,40.46,USD,2026-04-03,True
LR0000157,T0000157,A00301,59.5,USD,2026-05-16,True
LR0000158,T0000158,A00017,94.49,USD,2026-04-05,True
LR0000159,T0000159,A00276,48.58,USD,2026-05-24,True
LR0000160,T0000160,A00033,232.36,USD,2026-05-17,True
LR0000161,T0000161,A00282,278.67,USD,2026-06-25,True
LR0000162,T0000162,A00279,129.36,USD,2026-05-25,True
LR0000163,T0000163,A00362,47.1,USD,2026-06-19,True
LR0000164,T0000164,A00061,84.42,USD,2026-06-30,True
LR0000165,T0000165,A00371,371.84,USD,2026-05-28,True
LR0000166,T0000166,A00034,191.01,USD,2026-06-01,True
LR0000167,T0000167,A00397,311.24,USD,2026-06-01,True
LR0000168,T0000168,A00180,77.17,USD,2026-04-27,True
LR0000169,T0000169,A00274,484.13,USD,2026-06-23,True
LR0000170,T0000170,A00394,804.73,USD,2026-04-23,True
LR0000171,T0000171,A00129,43.26,USD,2026-05-26,True
LR0000172,T0000172,A00301,142.2,USD,2026-06-17,True
LR0000173,T0000173,A00314,26.53,USD,2026-06-19,True
LR0000174,T0000174,A00204,853.06,USD,2026-04-11,True
LR0000175,T0000175,A00178,6076.25,USD,2026-06-04,True
LR0000176,T0000176,A00068,955.81,USD,2026-06-17,True
LR0000177,T0000177,A00226,219.64,USD,2026-05-29,True
LR0000178,T0000178,A00096,336.68,USD,2026-04-14,True
LR0000179,T0000179,A00098,600.23,USD,2026-05-30,True
LR0000180,T0000180,A00323,46.01,USD,2026-05-25,True
LR0000181,T0000181,A00261,291.36,USD,2026-04-15,True
LR0000182,T0000182,A00025,260.95,USD,2026-06-10,True
LR0000183,T0000183,A00126,196.98,USD,2026-04-06,True
LR0000184,T0000184,A00226,148.73,USD,2026-04-29,True
LR0000185,T0000185,A00296,305.15,USD,2026-06-27,True
LR0000186,T0000186,A00363,65.83,USD,2026-04-15,True
LR0000187,T0000187,A00169,93.86,USD,2026-05-07,True
LR0000188,T0000188,A00182,396.62,USD,2026-04-06,True
LR0000189,T0000189,A00079,253.44,USD,2026-05-12,True
LR0000190,T0000190,A00374,275.09,USD,2026-04-24,True
LR0000191,T0000191,A00103,1047.9,USD,2026-05-24,True
LR0000192,T0000192,A00295,233.19,USD,2026-04-06,True
LR0000193,T0000193,A00347,200.38,USD,2026-07-01,True
LR0000194,T0000194,A00281,671.68,USD,2026-05-27,True
LR0000195,T0000195,A00215,3198.34,USD,2026-06-16,True
LR0000196,T0000196,A00168,139.7,USD,2026-04-11,True
LR0000197,T0000197,A00208,509.39,USD,2026-04-11,True
LR0000198,T0000198,A00069,187.76,USD,2026-05-20,True
LR0000199,T0000199,A00330,71.56,USD,2026-04-29,True
LR0000200,T0000200,A00095,260.78,USD,2026-06-20,True
LR0000201,T0000201,A00217,632.73,USD,2026-05-18,True
LR0000202,T0000202,A00063,83.89,USD,2026-04-06,True
LR0000203,T0000203,A00372,1289.19,USD,2026-06-16,True
LR0000204,T0000204,A00290,155.98,USD,2026-06-18,True
LR0000205,T0000205,A00225,144.97,USD,2026-04-03,True
LR0000206,T0000206,A00236,770.87,USD,2026-06-23,True
LR0000207,T0000207,A00104,393.33,USD,2026-05-13,True
LR0000208,T0000208,A00239,96.84,USD,2026-06-04,True
LR0000209,T0000209,A00017,43.3,USD,2026-04-03,True
LR0000210,T0000210,A00130,2976.78,USD,2026-05-12,True
LR0000211,T0000211,A00319,345.37,USD,2026-04-06,True
LR0000212,T0000212,A00098,3718.48,USD,2026-06-03,True
LR0000213,T0000213,A00309,135.93,USD,2026-05-11,True
LR0000214,T0000214,A00306,430.76,USD,2026-05-09,True
LR0000215,T0000215,A00123,48.15,USD,2026-05-17,True
LR0000216,T0000216,A00094,66.06,USD,2026-05-09,True
LR0000217,T0000217,A00287,147.85,USD,2026-06-14,True
LR0000218,T0000218,A00045,2778.62,USD,2026-04-25,True
LR0000219,T0000219,A00091,374.33,USD,2026-05-26,True
LR0000220,T0000220,A00191,1239.91,USD,2026-04-05,True
LR0000221,T0000221,A00135,4626.06,USD,2026-05-22,True
LR0000222,T0000222,A00289,1024.87,USD,2026-05-06,True
LR0000223,T0000223,A00029,964.54,USD,2026-06-15,True
LR0000224,T0000224,A00007,325.68,USD,2026-06-09,True
LR0000225,T0000225,A00069,2055.36,USD,2026-04-05,True
LR0000226,T0000226,A00104,450.51,USD,2026-06-29,True
LR0000227,T0000227,A00156,1331.8,USD,2026-04-23,True
LR0000228,T0000228,A00268,172.49,USD,2026-05-06,True
LR0000229,T0000229,A00151,715.56,USD,2026-06-24,True
LR0000230,T0000230,A00164,492.86,USD,2026-05-30,True
LR0000231,T0000231,A00350,172.49,USD,2026-06-26,True
LR0000232,T0000232,A00002,37.73,USD,2026-05-30,True
LR0000233,T0000233,A00232,425.41,USD,2026-06-15,True
LR0000234,T0000234,A00282,510.74,USD,2026-06-02,True
LR0000235,T0000235,A00237,66.74,USD,2026-04-03,True
LR0000236,T0000236,A00083,333.21,USD,2026-05-24,True
LR0000237,T0000237,A00078,410.94,USD,2026-06-13,True
LR0000238,T0000238,A00110,1282.67,USD,2026-05-19,True
LR0000239,T0000239,A00261,418.33,USD,2026-04-20,True
LR0000240,T0000240,A00199,724.71,USD,2026-05-02,True
LR0000241,T0000241,A00354,220.63,USD,2026-06-23,True
LR0000242,T0000242,A00365,175.53,USD,2026-04-23,True
LR0000243,T0000243,A00321,223.96,USD,2026-06-26,True
LR0000244,T0000244,A00174,144.19,USD,2026-05-21,True
LR0000245,T0000245,A00117,193.9,USD,2026-04-05,True
LR0000246,T0000246,A00029,560.29,USD,2026-06-24,True
LR0000247,T0000247,A00183,580.7,USD,2026-04-17,True
LR0000248,T0000248,A00177,505.37,USD,2026-05-23,True
LR0000249,T0000249,A00177,418.12,USD,2026-04-13,True
LR0000250,T0000250,A00147,1724.04,USD,2026-04-12,True
LR0000251,T0000251,A00242,1705.78,USD,2026-04-21,True
LR0000252,T0000252,A00047,335.95,USD,2026-04-11,True
LR0000253,T0000253,A00037,2392.33,USD,2026-04-24,True
LR0000254,T0000254,A00062,1981.3,USD,2026-04-06,True
LR0000255,T0000255,A00007,335.62,USD,2026-06-07,True
LR0000256,T0000256,A00240,114.95,USD,2026-04-21,True
LR0000257,T0000257,A00183,163.96,USD,2026-05-08,True
LR0000258,T0000258,A00393,305.85,USD,2026-04-29,True
LR0000259,T0000259,A00286,175.39,USD,2026-06-29,True
LR0000260,T0000260,A00354,68.8,USD,2026-05-13,True
LR0000261,T0000261,A00023,63.72,USD,2026-05-12,True
LR0000262,T0000262,A00333,149.64,USD,2026-06-01,True
LR0000263,T0000263,A00155,119.67,USD,2026-05-26,True
LR0000264,T0000264,A00098,19.07,USD,2026-04-19,True
LR0000265,T0000265,A00210,878.31,USD,2026-06-13,True
LR0000266,T0000266,A00234,1156.0,USD,2026-06-15,True
LR0000267,T0000267,A00031,622.08,USD,2026-06-01,True
LR0000268,T0000268,A00058,14.22,USD,2026-04-26,True
LR0000269,T0000269,A00353,207.19,USD,2026-04-12,True
LR0000270,T0000270,A00173,510.43,USD,2026-05-14,True
LR0000271,T0000271,A00376,1549.04,USD,2026-05-04,True
LR0000272,T0000272,A00294,5672.35,USD,2026-05-10,True
LR0000273,T0000273,A00054,275.05,USD,2026-06-13,True
LR0000274,T0000274,A00087,336.48,USD,2026-05-27,True
LR0000275,T0000275,A00070,535.58,USD,2026-05-03,True
LR0000276,T0000276,A00344,119.06,USD,2026-05-12,True
LR0000277,T0000277,A00133,92.5,USD,2026-04-20,True
LR0000278,T0000278,A00295,933.55,USD,2026-04-22,True
LR0000279,T0000279,A00233,700.87,USD,2026-05-24,True
LR0000280,T0000280,A00267,204.14,USD,2026-05-19,True
LR0000281,T0000281,A00201,30.14,USD,2026-05-23,True
LR0000282,T0000282,A00355,13.56,USD,2026-04-20,True
LR0000283,T0000283,A00369,244.28,USD,2026-06-15,True
LR0000284,T0000284,A00110,256.28,USD,2026-06-29,True
LR0000285,T0000285,A00017,191.81,USD,2026-04-06,True
LR0000286,T0000286,A00378,952.72,USD,2026-04-20,True
LR0000287,T0000287,A00198,366.25,USD,2026-04-14,True
LR0000288,T0000288,A00157,17.0,USD,2026-04-12,True
LR0000289,T0000289,A00107,4442.01,USD,2026-05-28,True
LR0000290,T0000290,A00161,8.03,USD,2026-04-09,True
LR0000291,T0000291,A00372,125.45,USD,2026-06-11,True
LR0000292,T0000292,A00329,66.73,USD,2026-05-21,True
LR0000293,T0000293,A00356,534.18,USD,2026-06-22,True
LR0000294,T0000294,A00344,44.71,USD,2026-05-23,True
LR0000295,T0000295,A00236,682.65,USD,2026-05-13,True
LR0000296,T0000296,A00287,174.62,USD,2026-05-29,True
LR0000297,T0000297,A00304,742.6,USD,2026-04-14,True
LR0000298,T0000298,A00157,9.48,USD,2026-06-24,True
LR0000299,T0000299,A00338,204.64,USD,2026-06-16,True
LR0000300,T0000300,A00357,719.72,USD,2026-04-14,True
LR0000301,T0000301,A00119,55.25,USD,2026-05-14,True
LR0000302,T0000302,A00314,417.63,USD,2026-06-09,True
LR0000303,T0000303,A00114,398.77,USD,2026-04-28,True
LR0000304,T0000304,A00176,383.59,USD,2026-06-18,True
LR0000305,T0000305,A00025,163.01,USD,2026-04-15,True
LR0000306,T0000306,A00155,749.98,USD,2026-04-24,True
LR0000307,T0000307,A00167,440.42,USD,2026-06-10,True
LR0000308,T0000308,A00207,405.88,USD,2026-06-19,True
LR0000309,T0000309,A00222,120.3,USD,2026-06-09,True
LR0000310,T0000310,A00353,68.16,USD,2026-04-24,True
LR0000311,T0000311,A00172,528.37,USD,2026-05-16,True
LR0000312,T0000312,A00332,100.67,USD,2026-04-18,True
LR0000313,T0000313,A00076,2038.4,USD,2026-04-26,True
LR0000314,T0000314,A00018,4689.07,USD,2026-06-08,True
LR0000315,T0000315,A00103,100.59,USD,2026-06-02,True
LR0000316,T0000316,A00275,85.5,USD,2026-06-22,True
LR0000317,T0000317,A00213,502.64,USD,2026-04-24,True
LR0000318,T0000318,A00199,414.24,USD,2026-05-29,True
LR0000319,T0000319,A00034,258.79,USD,2026-06-06,True
LR0000320,T0000320,A00058,605.97,USD,2026-06-19,True
LR0000321,T0000321,A00094,727.28,USD,2026-04-13,True
LR0000322,T0000322,A00004,91.8,USD,2026-05-10,True
LR0000323,T0000323,A00126,81.77,USD,2026-06-25,True
LR0000324,T0000324,A00170,19.83,USD,2026-04-12,True
LR0000325,T0000325,A00381,25.41,USD,2026-04-28,True
LR0000326,T0000326,A00095,71.23,USD,2026-05-16,True
LR0000327,T0000327,A00214,169.15,USD,2026-04-12,True
LR0000328,T0000328,A00099,830.34,USD,2026-06-10,True
LR0000329,T0000329,A00138,639.03,USD,2026-06-09,True
LR0000330,T0000330,A00248,521.54,USD,2026-05-09,True
LR0000331,T0000331,A00276,205.4,USD,2026-06-01,True
LR0000332,T0000332,A00200,6169.81,USD,2026-06-23,True
LR0000333,T0000333,A00094,51.22,USD,2026-04-30,True
LR0000334,T0000334,A00085,190.48,USD,2026-06-04,True
LR0000335,T0000335,A00176,436.22,USD,2026-04-06,True
LR0000336,T0000336,A00359,59.37,USD,2026-04-10,True
LR0000337,T0000337,A00134,177.57,USD,2026-06-01,True
LR0000338,T0000338,A00202,35.92,USD,2026-04-16,True
LR0000339,T0000339,A00269,168.47,USD,2026-05-02,True
LR0000340,T0000340,A00044,2136.1,USD,2026-04-23,True
LR0000341,T0000341,A00096,342.3,USD,2026-04-03,True
LR0000342,T0000342,A00079,4039.99,USD,2026-05-01,True
LR0000343,T0000343,A00035,1978.87,USD,2026-04-24,True
LR0000344,T0000344,A00389,34.29,USD,2026-04-26,True
LR0000345,T0000345,A00398,54.08,USD,2026-04-06,True
LR0000346,T0000346,A00191,2015.72,USD,2026-05-05,True
LR0000347,T0000347,A00102,236.68,USD,2026-05-13,True
LR0000348,T0000348,A00297,34.3,USD,2026-05-11,True
LR0000349,T0000349,A00287,1029.87,USD,2026-05-17,True
LR0000350,T0000350,A00399,2338.79,USD,2026-06-27,True
LR0000351,T0000351,A00345,2182.76,USD,2026-05-19,True
LR0000352,T0000352,A00132,545.12,USD,2026-06-23,True
LR0000353,T0000353,A00095,1432.8,USD,2026-06-07,True
LR0000354,T0000354,A00012,561.77,USD,2026-06-11,True
LR0000355,T0000355,A00339,70.13,USD,2026-04-17,True
LR0000356,T0000356,A00239,1288.44,USD,2026-05-13,True
LR0000357,T0000357,A00320,200.52,USD,2026-05-24,True
LR0000358,T0000358,A00010,3620.21,USD,2026-06-12,True
LR0000359,T0000359,A00091,167.54,USD,2026-04-09,True
LR0000360,T0000360,A00158,195.25,USD,2026-05-20,True
LR0000361,T0000361,A00097,59.49,USD,2026-04-21,True
LR0000362,T0000362,A00078,748.22,USD,2026-05-10,True
LR0000363,T0000363,A00376,3880.46,USD,2026-05-09,True
LR0000364,T0000364,A00347,832.46,USD,2026-04-25,True
LR0000365,T0000365,A00188,304.82,USD,2026-05-06,True
LR0000366,T0000366,A00033,144.45,USD,2026-05-12,True
LR0000367,T0000367,A00211,108.39,USD,2026-05-16,True
LR0000368,T0000368,A00351,1507.49,USD,2026-05-02,True
LR0000369,T0000369,A00129,112.32,USD,2026-06-24,True
LR0000370,T0000370,A00170,14.67,USD,2026-05-22,True
LR0000371,T0000371,A00260,18246.08,USD,2026-06-12,True
LR0000372,T0000372,A00189,409.9,USD,2026-04-09,True
LR0000373,T0000373,A00390,160.49,USD,2026-04-24,True
LR0000374,T0000374,A00010,106.79,USD,2026-04-24,True
LR0000375,T0000375,A00113,587.61,USD,2026-06-12,True
LR0000376,T0000376,A00288,54.22,USD,2026-05-22,True
LR0000377,T0000377,A00200,113.82,USD,2026-06-25,True
LR0000378,T0000378,A00282,497.0,USD,2026-06-15,True
LR0000379,T0000379,A00400,79.53,USD,2026-05-15,True
LR0000380,T0000380,A00265,52.59,USD,2026-04-29,True
LR0000381,T0000381,A00247,129.83,USD,2026-04-12,True
LR0000382,T0000382,A00071,183.09,USD,2026-05-22,True
LR0000383,T0000383,A00214,193.33,USD,2026-05-01,True
LR0000384,T0000384,A00176,185.96,USD,2026-06-11,True
LR0000385,T0000385,A00175,402.15,USD,2026-05-28,True
LR0000386,T0000386,A00331,102.52,USD,2026-05-08,True
LR0000387,T0000387,A00083,411.0,USD,2026-05-16,True
LR0000388,T0000388,A00002,120.23,USD,2026-05-28,True
LR0000389,T0000389,A00015,229.32,USD,2026-05-24,True
LR0000390,T0000390,A00304,111.34,USD,2026-04-23,True
LR0000391,T0000391,A00252,21.49,USD,2026-05-23,True
LR0000392,T0000392,A00301,414.57,USD,2026-06-06,True
LR0000393,T0000393,A00149,1208.01,USD,2026-06-24,True
LR0000394,T0000394,A00375,387.98,USD,2026-05-20,True
LR0000395,T0000395,A00051,48.14,USD,2026-06-02,True
LR0000396,T0000396,A00228,42.29,USD,2026-05-31,True
LR0000397,T0000397,A00276,888.56,USD,2026-05-31,True
LR0000398,T0000398,A00129,485.15,USD,2026-04-16,True
LR0000399,T0000399,A00157,337.51,USD,2026-04-13,True
LR0000400,T0000400,A00027,894.09,USD,2026-05-24,True
LR0000401,T0000401,A00214,694.0,USD,2026-05-17,True
LR0000402,T0000402,A00344,323.32,USD,2026-06-10,True
LR0000403,T0000403,A00229,1910.84,USD,2026-06-25,True
LR0000404,T0000404,A00219,3000.47,USD,2026-04-15,True
LR0000405,T0000405,A00315,1631.03,USD,2026-06-03,True
LR0000406,T0000406,A00125,791.45,USD,2026-04-09,True
LR0000407,T0000407,A00203,318.34,USD,2026-06-07,True
LR0000408,T0000408,A00341,289.46,USD,2026-05-29,True
LR0000409,T0000409,A00228,772.27,USD,2026-05-23,False
LR0000410,T0000410,A00283,123.41,USD,2026-04-13,True
LR0000411,T0000411,A00206,248.82,USD,2026-06-03,True
LR0000412,T0000412,A00036,116.59,USD,2026-05-18,True
LR0000413,T0000413,A00252,244.78,USD,2026-04-22,True
LR0000414,T0000414,A00259,85.72,USD,2026-04-27,True
LR0000415,T0000415,A00029,199.92,USD,2026-06-03,True
LR0000416,T0000416,A00336,156.1,USD,2026-06-07,True
LR0000417,T0000417,A00331,1212.91,USD,2026-06-04,True
LR0000418,T0000418,A00102,1376.09,USD,2026-06-17,True
LR0000419,T0000419,A00161,604.79,USD,2026-05-21,True
LR0000420,T0000420,A00088,34.22,USD,2026-05-16,True
LR0000421,T0000421,A00349,625.82,USD,2026-04-10,True
LR0000422,T0000422,A00380,922.91,USD,2026-05-26,True
LR0000423,T0000423,A00200,171.25,USD,2026-06-07,True
LR0000424,T0000424,A00285,792.18,USD,2026-07-01,True
LR0000425,T0000425,A00080,1005.41,USD,2026-04-03,True
LR0000426,T0000426,A00355,28.15,USD,2026-06-27,True
LR0000427,T0000427,A00153,1039.86,USD,2026-07-01,True
LR0000428,T0000428,A00144,200.75,USD,2026-05-06,True
LR0000429,T0000429,A00078,39.75,USD,2026-05-07,True
LR0000430,T0000430,A00368,338.25,USD,2026-05-31,True
LR0000431,T0000431,A00016,157.64,USD,2026-05-16,True
LR0000432,T0000432,A00237,892.76,USD,2026-06-29,True
LR0000433,T0000433,A00169,638.61,USD,2026-05-07,True
LR0000434,T0000434,A00224,579.85,USD,2026-05-24,True
LR0000435,T0000435,A00345,90.76,USD,2026-04-09,True
LR0000436,T0000436,A00105,156.6,USD,2026-06-20,True
LR0000437,T0000437,A00204,176.34,USD,2026-04-10,True
LR0000438,T0000438,A00010,671.1,USD,2026-06-18,True
LR0000439,T0000439,A00259,1858.14,USD,2026-06-25,True
LR0000440,T0000440,A00211,582.47,USD,2026-04-24,True
LR0000441,T0000441,A00224,84.66,USD,2026-06-27,True
LR0000442,T0000442,A00393,148.79,USD,2026-06-25,True
LR0000443,T0000443,A00150,480.84,USD,2026-05-08,True
LR0000444,T0000444,A00157,1374.28,USD,2026-05-21,True
LR0000445,T0000445,A00267,232.82,USD,2026-05-29,True
LR0000446,T0000446,A00376,696.35,USD,2026-06-02,True
