settlement_row_id,txn_id,settle_amount,settled_at
SR0000218,T0000218,2778.62,2026-04-25
SR0000219,T0000219,374.33,2026-05-26
SR0000220,T0000220,1239.91,2026-04-05
SR0000221,T0000221,4626.06,2026-05-22
SR0000222,T0000222,1024.87,2026-05-06
SR0000223,T0000223,964.54,2026-06-15
SR0000224,T0000224,325.68,2026-06-09
SR0000225,T0000225,2055.36,2026-04-05
SR0000226,T0000226,450.51,2026-06-29
SR0000227,T0000227,1331.8,2026-04-23
SR0000228,T0000228,172.49,2026-05-06
SR0000229,T0000229,715.56,2026-06-24
SR0000230,T0000230,492.86,2026-05-30
SR0000231,T0000231,172.49,2026-06-26
SR0000232,T0000232,37.73,2026-05-30
SR0000233,T0000233,425.41,2026-06-15
SR0000234,T0000234,510.74,2026-06-02
SR0000235,T0000235,66.74,2026-04-03
SR0000236,T0000236,333.21,2026-05-24
SR0000237,T0000237,410.94,2026-06-13
SR0000238,T0000238,1282.67,2026-05-19
SR0000239,T0000239,418.33,2026-04-20
SR0000240,T0000240,724.71,2026-05-02
SR0000241,T0000241,220.63,2026-06-23
SR0000242,T0000242,175.53,2026-04-23
SR0000243,T0000243,223.96,2026-06-26
SR0000244,T0000244,144.19,2026-05-21
SR0000245,T0000245,193.9,2026-04-05
SR0000246,T0000246,560.29,2026-06-24
SR0000247,T0000247,580.7,2026-04-17
SR0000248,T0000248,505.37,2026-05-23
SR0000249,T0000249,418.12,2026-04-13
SR0000250,T0000250,1724.04,2026-04-12
SR0000251,T0000251,1705.78,2026-04-21
SR0000252,T0000252,335.95,2026-04-11
SR0000253,T0000253,2392.33,2026-04-24
SR0000254,T0000254,1981.3,2026-04-06
SR0000255,T0000255,335.62,2026-06-07
SR0000256,T0000256,114.95,2026-04-21
SR0000257,T0000257,163.96,2026-05-08
SR0000258,T0000258,305.85,2026-04-29
SR0000259,T0000259,175.39,2026-06-29
SR0000260,T0000260,68.8,2026-05-13
SR0000261,T0000261,63.72,2026-05-12
SR0000262,T0000262,149.64,2026-06-01
SR0000263,T0000263,119.67,2026-05-26
SR0000264,T0000264,19.07,2026-04-19
SR0000265,T0000265,878.31,2026-06-13
SR0000266,T0000266,1156.0,2026-06-15
SR0000267,T0000267,622.08,2026-06-01
SR0000268,T0000268,14.22,2026-04-26
SR0000269,T0000269,207.19,2026-04-12
SR0000270,T0000270,510.43,2026-05-14
SR0000271,T0000271,1549.04,2026-05-04
SR0000272,T0000272,5672.35,2026-05-10
SR0000273,T0000273,275.05,2026-06-13
SR0000274,T0000274,336.48,2026-05-27
SR0000275,T0000275,535.58,2026-05-03
SR0000276,T0000276,119.06,2026-05-12
SR0000277,T0000277,92.5,2026-04-20
SR0000278,T0000278,933.55,2026-04-22
SR0000279,T0000279,700.87,2026-05-24
SR0000280,T0000280,204.14,2026-05-19
SR0000281,T0000281,30.14,2026-05-23
SR0000282,T0000282,13.56,2026-04-20
SR0000283,T0000283,244.28,2026-06-15
SR0000284,T0000284,256.28,2026-06-29
SR0000285,T0000285,191.81,2026-04-06
SR0000286,T0000286,952.72,2026-04-20
SR0000287,T0000287,366.25,2026-04-14
SR0000288,T0000288,17.0,2026-04-12
SR0000289,T0000289,4442.01,2026-05-28
SR0000290,T0000290,8.03,2026-04-09
SR0000291,T0000291,125.45,2026-06-11
SR0000292,T0000292,66.73,2026-05-21
SR0000293,T0000293,534.18,2026-06-22
SR0000294,T0000294,44.71,2026-05-23
SR0000295,T0000295,682.65,2026-05-13
SR0000296,T0000296,174.62,2026-05-29
SR0000297,T0000297,742.6,2026-04-14
SR0000298,T0000298,9.48,2026-06-24
SR0000299,T0000299,204.64,2026-06-16
SR0000300,T0000300,719.72,2026-04-14
SR0000301,T0000301,55.25,2026-05-14
SR0000302,T0000302,417.63,2026-06-09
SR0000303,T0000303,398.77,2026-04-28
SR0000304,T0000304,383.59,2026-06-18
SR0000305,T0000305,163.01,2026-04-15
SR0000306,T0000306,749.98,2026-04-24
SR0000307,T0000307,440.42,2026-06-10
SR0000308,T0000308,405.88,2026-06-19
SR0000309,T0000309,120.3,2026-06-09
SR0000310,T0000310,68.16,2026-04-24
SR0000311,T0000311,528.37,2026-05-16
SR0000312,T0000312,100.67,2026-04-18
SR0000313,T0000313,2038.4,2026-04-26
SR0000314,T0000314,4689.07,2026-06-08
SR0000315,T0000315,100.59,2026-06-02
SR0000316,T0000316,85.5,2026-06-22
SR0000317,T0000317,502.64,2026-04-24
SR0000318,T0000318,414.24,2026-05-29
SR0000319,T0000319,258.79,2026-06-06
SR0000320,T0000320,605.97,2026-06-19
SR0000321,T0000321,727.28,2026-04-13
SR0000322,T0000322,91.8,2026-05-10
SR0000323,T0000323,81.77,2026-06-25
SR0000324,T0000324,19.83,2026-04-12
SR0000325,T0000325,25.41,2026-04-28
SR0000326,T0000326,71.23,2026-05-16
SR0000327,T0000327,169.15,2026-04-12
SR0000328,T0000328,830.34,2026-06-10
SR0000329,T0000329,639.03,2026-06-09
SR0000330,T0000330,521.54,2026-05-09
SR0000331,T0000331,205.4,2026-06-01
SR0000332,T0000332,6169.81,2026-06-23
SR0000333,T0000333,51.22,2026-04-30
SR0000334,T0000334,190.48,2026-06-04
SR0000335,T0000335,436.22,2026-04-06
SR0000336,T0000336,59.37,2026-04-10
SR0000337,T0000337,177.57,2026-06-01
SR0000338,T0000338,35.92,2026-04-16
SR0000339,T0000339,168.47,2026-05-02
SR0000340,T0000340,2136.1,2026-04-23
SR0000341,T0000341,342.3,2026-04-03
SR0000342,T0000342,4039.99,2026-05-01
SR0000343,T0000343,1978.87,2026-04-24
SR0000344,T0000344,34.29,2026-04-26
SR0000345,T0000345,54.08,2026-04-06
SR0000346,T0000346,2015.72,2026-05-05
SR0000347,T0000347,236.68,2026-05-13
SR0000348,T0000348,34.3,2026-05-11
SR0000349,T0000349,1029.87,2026-05-17
SR0000350,T0000350,2338.79,2026-06-27
SR0000351,T0000351,2182.76,2026-05-19
SR0000352,T0000352,545.12,2026-06-23
SR0000353,T0000353,1432.8,2026-06-07
SR0000354,T0000354,561.77,2026-06-11
SR0000355,T0000355,70.13,2026-04-17
SR0000356,T0000356,1288.44,2026-05-13
SR0000357,T0000357,200.52,2026-05-24
SR0000358,T0000358,3620.21,2026-06-12
SR0000359,T0000359,167.54,2026-04-09
SR0000360,T0000360,195.25,2026-05-20
SR0000361,T0000361,59.49,2026-04-21
SR0000362,T0000362,748.22,2026-05-10
SR0000363,T0000363,3880.46,2026-05-09
SR0000364,T0000364,832.46,2026-04-25
SR0000365,T0000365,304.82,2026-05-06
SR0000366,T0000366,144.45,2026-05-12
SR0000367,T0000367,108.39,2026-05-16
SR0000368,T0000368,1507.49,2026-05-02
SR0000369,T0000369,112.32,2026-06-24
SR0000370,T0000370,14.67,2026-05-22
SR0000371,T0000371,18246.08,2026-06-12
SR0000372,T0000372,409.9,2026-04-09
SR0000373,T0000373,160.49,2026-04-24
SR0000374,T0000374,106.79,2026-04-24
SR0000375,T0000375,587.61,2026-06-12
SR0000376,T0000376,54.22,2026-05-22
SR0000377,T0000377,113.82,2026-06-25
SR0000378,T0000378,497.0,2026-06-15
SR0000379,T0000379,79.53,2026-05-15
SR0000380,T0000380,52.59,2026-04-29
SR0000381,T0000381,129.83,2026-04-12
SR0000382,T0000382,183.09,2026-05-22
SR0000383,T0000383,193.33,2026-05-01
SR0000384,T0000384,185.96,2026-06-11
SR0000385,T0000385,402.15,2026-05-28
SR0000386,T0000386,102.52,2026-05-08
SR0000387,T0000387,411.0,2026-05-16
SR0000388,T0000388,120.23,2026-05-28
SR0000389,T0000389,229.32,2026-05-24
SR0000390,T0000390,111.34,2026-04-23
SR0000391,T0000391,21.49,2026-05-23
SR0000392,T0000392,414.57,2026-06-06
SR0000393,T0000393,1208.01,2026-06-24
SR0000394,T0000394,387.98,2026-05-20
SR0000395,T0000395,48.14,2026-06-02
SR0000396,T0000396,42.29,2026-05-31
SR0000397,T0000397,888.56,2026-05-31
SR0000398,T0000398,485.15,2026-04-16
SR0000399,T0000399,337.51,2026-04-13
SR0000400,T0000400,894.09,2026-05-24
SR0000401,T0000401,694.0,2026-05-17
SR0000402,T0000402,323.32,2026-06-10
SR0000403,T0000403,1910.84,2026-06-25
SR0000404,T0000404,3000.47,2026-04-15
SR0000405,T0000405,1631.03,2026-06-03
SR0000406,T0000406,791.45,2026-04-09
SR0000407,T0000407,318.34,2026-06-07
SR0000408,T0000408,289.46,2026-05-29
SR0000409,T0000409,772.27,2026-05-23
SR0000410,T0000410,123.41,2026-04-13
SR0000411,T0000411,248.82,2026-06-03
SR0000412,T0000412,116.59,2026-05-18
SR0000413,T0000413,244.78,2026-04-22
SR0000414,T0000414,85.72,2026-04-27
SR0000415,T0000415,199.92,2026-06-03
SR0000416,T0000416,156.1,2026-06-07
SR0000417,T0000417,1212.91,2026-06-04
SR0000418,T0000418,1376.09,2026-06-17
SR0000419,T0000419,604.79,2026-05-21
SR0000420,T0000420,34.22,2026-05-16
SR0000421,T0000421,625.82,2026-04-10
SR0000422,T0000422,922.91,2026-05-26
SR0000423,T0000423,171.25,2026-06-07
SR0000424,T0000424,792.18,2026-07-01
SR0000425,T0000425,1005.41,2026-04-03
SR0000426,T0000426,28.15,2026-06-27
SR0000427,T0000427,1039.86,2026-07-01
SR0000428,T0000428,200.75,2026-05-06
SR0000429,T0000429,39.75,2026-05-07
SR0000430,T0000430,338.25,2026-05-31
SR0000431,T0000431,157.64,2026-05-16
SR0000432,T0000432,892.76,2026-06-29
SR0000433,T0000433,638.61,2026-05-07
SR0000434,T0000434,579.85,2026-05-24
SR0000435,T0000435,90.76,2026-04-09
SR0000436,T0000436,156.6,2026-06-20
SR0000437,T0000437,176.34,2026-04-10
SR0000438,T0000438,671.1,2026-06-18
SR0000439,T0000439,1858.14,2026-06-25
SR0000440,T0000440,582.47,2026-04-24
SR0000441,T0000441,84.66,2026-06-27
SR0000442,T0000442,148.79,2026-06-25
SR0000443,T0000443,480.84,2026-05-08
SR0000444,T0000444,1374.28,2026-05-21
SR0000445,T0000445,232.82,2026-05-29
SR0000446,T0000446,696.35,2026-06-02
SR0000447,T0000447,30.61,2026-04-20
SR0000448,T0000448,125.9,2026-04-04
SR0000449,T0000449,746.54,2026-04-22
SR0000450,T0000450,9.46,2026-06-30
SR0000451,T0000451,1242.37,2026-05-13
SR0000452,T0000452,464.13,2026-05-22
SR0000453,T0000453,305.2,2026-06-01
SR0000454,T0000454,15.59,2026-04-30
SR0000455,T0000455,1017.27,2026-05-18
SR0000456,T0000456,4210.59,2026-04-08
SR0000457,T0000457,191.06,2026-05-11
SR0000458,T0000458,136.54,2026-06-03
SR0000459,T0000459,179.86,2026-04-08
SR0000460,T0000460,772.68,2026-05-05
SR0000461,T0000461,1117.52,2026-04-27
SR0000462,T0000462,605.06,2026-06-09
SR0000463,T0000463,188.07,2026-06-11
SR0000464,T0000464,1254.75,2026-05-06
SR0000465,T0000465,54.76,2026-06-06
SR0000466,T0000466,1413.15,2026-06-24
SR0000467,T0000467,1714.06,2026-05-25
SR0000468,T0000468,156.08,2026-06-06
SR0000469,T0000469,3172.79,2026-04-09
SR0000470,T0000470,1099.13,2026-05-23
SR0000471,T0000471,271.61,2026-05-29
SR0000472,T0000472,167.8,2026-06-26
SR0000473,T0000473,807.76,2026-05-05
SR0000474,T0000474,110.63,2026-06-14
SR0000475,T0000475,2059.17,2026-04-29
SR0000476,T0000476,123.28,2026-06-22
SR0000477,T0000477,8518.09,2026-04-29
SR0000478,T0000478,411.14,2026-04-07
SR0000479,T0000479,42.32,2026-04-08
SR0000480,T0000480,1689.93,2026-05-16
SR0000481,T0000481,157.83,2026-06-04
SR0000482,T0000482,19.86,2026-05-10
SR0000483,T0000483,3832.77,2026-04-23
SR0000484,T0000484,12511.69,2026-04-19
SR0000485,T0000485,567.89,2026-06-25
SR0000486,T0000486,671.09,2026-06-01
SR0000487,T0000487,520.41,2026-05-17
SR0000488,T0000488,647.53,2026-06-22
SR0000489,T0000489,177.1,2026-05-09
SR0000490,T0000490,269.59,2026-06-16
SR0000491,T0000491,207.59,2026-06-19
SR0000492,T0000492,273.22,2026-05-01
SR0000493,T0000493,50.33,2026-05-03
SR0000494,T0000494,1054.1,2026-04-07
SR0000495,T0000495,315.28,2026-04-05
SR0000496,T0000496,740.52,2026-05-22
SR0000497,T0000497,547.8,2026-04-30
SR0000498,T0000498,11.38,2026-06-04
SR0000499,T0000499,514.25,2026-05-16
SR0000500,T0000500,867.33,2026-04-13
SR0000501,T0000501,82.76,2026-06-05
SR0000502,T0000502,273.43,2026-05-27
SR0000503,T0000503,169.35,2026-06-19
SR0000504,T0000504,475.78,2026-06-20
SR0000505,T0000505,221.88,2026-04-21
SR0000506,T0000506,23.97,2026-06-08
SR0000508,T0000508,649.97,2026-04-22
SR0000509,T0000509,507.42,2026-05-29
SR0000510,T0000510,7724.78,2026-04-15
SR0000511,T0000511,282.83,2026-04-12
SR0000512,T0000512,24.84,2026-04-21
SR0000513,T0000513,2088.26,2026-05-11
SR0000514,T0000514,1175.61,2026-04-04
SR0000515,T0000515,93.33,2026-04-26
SR0000516,T0000516,890.55,2026-06-19
SR0000517,T0000517,424.87,2026-05-03
SR0000518,T0000518,82.69,2026-05-18
SR0000519,T0000519,424.53,2026-06-14
SR0000520,T0000520,123.83,2026-05-03
SR0000521,T0000521,36.72,2026-04-03
SR0000522,T0000522,219.94,2026-04-05
SR0000523,T0000523,705.28,2026-05-02
SR0000524,T0000524,262.33,2026-04-07
SR0000525,T0000525,114.06,2026-05-26
SR0000526,T0000526,599.57,2026-05-30
SR0000527,T0000527,207.86,2026-05-06
SR0000528,T0000528,79.93,2026-04-13
SR0000529,T0000529,386.88,2026-06-16
SR0000530,T0000530,205.13,2026-05-16
SR0000531,T0000531,3684.8,2026-04-14
SR0000532,T0000532,977.96,2026-06-23
SR0000533,T0000533,870.26,2026-06-19
SR0000534,T0000534,23.63,2026-06-26
SR0000535,T0000535,787.95,2026-04-24
SR0000536,T0000536,981.47,2026-04-03
SR0000537,T0000537,28.31,2026-05-16
SR0000538,T0000538,84.35,2026-04-08
SR0000539,T0000539,95.26,2026-04-07
SR0000540,T0000540,1231.96,2026-05-06
SR0000541,T0000541,1500.01,2026-04-19
SR0000542,T0000542,96.45,2026-04-30
SR0000543,T0000543,53.83,2026-06-04
SR0000544,T0000544,13.62,2026-05-10
SR0000545,T0000545,27.5,2026-06-29
SR0000546,T0000546,99.82,2026-04-21
SR0000547,T0000547,111.03,2026-07-01
SR0000548,T0000548,268.33,2026-06-06
SR0000549,T0000549,624.2,2026-06-18
SR0000550,T0000550,374.59,2026-06-09
SR0000551,T0000551,106.82,2026-06-23
SR0000553,T0000553,85.13,2026-06-22
SR0000554,T0000554,145.24,2026-06-13
SR0000555,T0000555,189.5,2026-05-26
SR0000556,T0000556,782.2,2026-05-16
SR0000557,T0000557,968.89,2026-04-14
SR0000558,T0000558,84.65,2026-04-07
SR0000559,T0000559,277.39,2026-05-07
SR0000560,T0000560,732.48,2026-06-04
SR0000561,T0000561,223.22,2026-06-25
SR0000562,T0000562,163.94,2026-05-08
SR0000563,T0000563,1104.3,2026-04-22
SR0000564,T0000564,666.35,2026-04-12
SR0000565,T0000565,256.01,2026-05-19
SR0000566,T0000566,74.26,2026-05-11
SR0000567,T0000567,29.48,2026-04-28
SR0000568,T0000568,351.52,2026-06-22
SR0000569,T0000569,636.44,2026-05-21
SR0000570,T0000570,61.97,2026-05-07
SR0000571,T0000571,1079.54,2026-05-05
SR0000572,T0000572,168.62,2026-05-08
SR0000573,T0000573,23.62,2026-06-03
SR0000574,T0000574,537.07,2026-06-03
SR0000575,T0000575,236.65,2026-04-07
SR0000576,T0000576,220.16,2026-05-07
SR0000577,T0000577,877.18,2026-07-01
SR0000578,T0000578,2236.74,2026-04-23
SR0000579,T0000579,612.65,2026-05-12
SR0000580,T0000580,152.37,2026-04-20
SR0000581,T0000581,23.99,2026-06-06
SR0000582,T0000582,647.1,2026-04-22
SR0000583,T0000583,291.58,2026-06-11
SR0000584,T0000584,90.74,2026-05-17
SR0000585,T0000585,130.84,2026-04-14
SR0000586,T0000586,2199.93,2026-04-24
SR0000587,T0000587,1026.29,2026-04-27
SR0000588,T0000588,1320.0,2026-06-26
SR0000589,T0000589,1187.48,2026-05-30
SR0000590,T0000590,390.18,2026-04-27
SR0000591,T0000591,63.59,2026-04-20
SR0000592,T0000592,314.25,2026-06-09
SR0000593,T0000593,677.78,2026-04-11
SR0000594,T0000594,256.42,2026-06-24
SR0000595,T0000595,393.07,2026-05-18
SR0000596,T0000596,592.57,2026-05-20
SR0000597,T0000597,1050.58,2026-06-14
SR0000598,T0000598,1016.71,2026-06-15
SR0000599,T0000599,162.28,2026-05-22
SR0000600,T0000600,42.67,2026-04-04
SR0000601,T0000601,2325.32,2026-05-04
SR0000602,T0000602,425.64,2026-06-15
SR0000603,T0000603,179.85,2026-05-05
SR0000604,T0000604,20.06,2026-04-08
SR0000605,T0000605,735.45,2026-06-02
SR0000606,T0000606,541.5,2026-04-17
SR0000607,T0000607,183.7,2026-05-11
SR0000608,T0000608,463.87,2026-04-16
SR0000609,T0000609,1947.05,2026-05-19
SR0000610,T0000610,45.98,2026-05-23
SR0000611,T0000611,1307.9,2026-06-25
SR0000612,T0000612,73.45,2026-06-08
SR0000613,T0000613,51.81,2026-06-16
SR0000614,T0000614,185.79,2026-05-19
SR0000615,T0000615,1836.49,2026-05-14
SR0000616,T0000616,91.18,2026-04-07
SR0000617,T0000617,223.06,2026-06-11
SR0000618,T0000618,34.19,2026-06-04
SR0000619,T0000619,559.0,2026-05-18
SR0000620,T0000620,81.77,2026-06-19
SR0000621,T0000621,142.94,2026-05-22
SR0000622,T0000622,954.12,2026-04-24
SR0000623,T0000623,104.2,2026-06-01
SR0000624,T0000624,489.77,2026-05-20
SR0000625,T0000625,419.56,2026-04-08
SR0000626,T0000626,378.13,2026-06-10
SR0000627,T0000627,64.55,2026-04-10
SR0000628,T0000628,347.31,2026-06-27
SR0000629,T0000629,209.93,2026-05-08
SR0000630,T0000630,184.67,2026-04-20
